"File","Name","Imports","Lines"
"src\presentation\components\pricing\tender-pricing-process\views\TenderPricingTabs.tsx","TenderPricingTabs.tsx","1","80"
"src\presentation\components\pricing\tender-pricing-process\hooks\useTenderPricingState.ts","useTenderPricingState.ts","1","76"
"src\presentation\components\ui\layout\DateTimeDisplay.tsx","DateTimeDisplay.tsx","1","196"
"src\application\hooks\useTenderAttachments.ts","useTenderAttachments.ts","1","413"
"src\application\hooks\useTenderEventListeners.ts","useTenderEventListeners.ts","1","129"
"src\application\hooks\useProjectCostManagement.ts","useProjectCostManagement.ts","1","105"
"src\presentation\components\tenders\TenderDetails\hooks\useTenderAttachments.ts","useTenderAttachments.ts","1","106"
"src\presentation\components\security\usePermissions.ts","usePermissions.ts","1","134"
"src\presentation\components\security\PermissionGuard.tsx","PermissionGuard.tsx","1","96"
"src\presentation\components\tenders\TenderDetails\components\CostAnalysisTable.tsx","CostAnalysisTable.tsx","1","48"
"src\presentation\components\tasks\TaskForm.tsx","TaskForm.tsx","1","545"
"src\presentation\components\tenders\TenderDetails\hooks\useTenderActions.ts","useTenderActions.ts","1","85"
"src\presentation\components\tenders\TenderDetails\hooks\useTenderDetails.ts","useTenderDetails.ts","1","147"
"src\presentation\components\tenders\TenderDetails\tabs\QuantitiesTab.tsx","QuantitiesTab.tsx","1","577"
"src\presentation\components\reports\ProjectReports.tsx","ProjectReports.tsx","1","669"
"src\presentation\components\tenders\TenderDetails\tabs\WorkflowTab.tsx","WorkflowTab.tsx","1","29"
"src\presentation\components\security\AuditLogViewer.tsx","AuditLogViewer.tsx","1","350"
"src\presentation\components\tenders\TenderDetails\tabs\GeneralInfoTab.tsx","GeneralInfoTab.tsx","1","169"
"src\presentation\components\scheduling\GanttChart.tsx","GanttChart.tsx","1","389"
"src\application\hooks\useTenderStatus.ts","useTenderStatus.ts","1","167"
"src\presentation\components\integration\UnifiedSystemIntegration.tsx","UnifiedSystemIntegration.tsx","1","612"
"src\presentation\components\financial\ProfitabilityComparison.tsx","ProfitabilityComparison.tsx","1","444"
"src\presentation\pages\Dashboard\components\MonthlyCalendarCard.tsx","MonthlyCalendarCard.tsx","1","289"
"src\presentation\components\kpi\UnifiedKPICard.tsx","UnifiedKPICard.tsx","1","97"
"src\presentation\components\keyboard-shortcuts\ShortcutsDialog.tsx","ShortcutsDialog.tsx","1","334"
"src\presentation\pages\Dashboard\components\FinancialSummaryCard.tsx","FinancialSummaryCard.tsx","1","152"
"src\presentation\components\financial\PaymentsReceivables.tsx","PaymentsReceivables.tsx","1","692"
"src\presentation\pages\Dashboard\DashboardPage.tsx","DashboardPage.tsx","1","272"
"src\presentation\pages\Development\components\DevelopmentGoalDialog.tsx","DevelopmentGoalDialog.tsx","1","393"
"src\presentation\components\datagrid\DataGrid.tsx","DataGrid.tsx","1","609"
"src\presentation\pages\Dashboard\components\ProjectManagementCards.tsx","ProjectManagementCards.tsx","1","179"
"src\presentation\components\financial\FinancialIntegration.tsx","FinancialIntegration.tsx","1","626"
"src\presentation\pages\Dashboard\components\RemindersCard.tsx","RemindersCard.tsx","1","244"
"src\presentation\components\layout\AppLayout.tsx","AppLayout.tsx","1","191"
"src\presentation\components\optimization\OptimizationDashboard.tsx","OptimizationDashboard.tsx","1","438"
"src\presentation\components\ui\scroll-area.tsx","scroll-area.tsx","1","56"
"src\presentation\components\onboarding\useOnboarding.ts","useOnboarding.ts","1","134"
"src\application\hooks\useFinancialMetrics.ts","useFinancialMetrics.ts","1","35"
"src\presentation\components\pricing\tender-pricing-process\components\DirectPriceInputDialog.tsx","DirectPriceInputDialog.tsx","1","299"
"src\presentation\components\ui\LastUpdateIndicator.tsx","LastUpdateIndicator.tsx","1","67"
"src\application\hooks\useDashboardPreferences.ts","useDashboardPreferences.ts","1","44"
"src\presentation\pages\Clients\components\NewClientDialog.tsx","NewClientDialog.tsx","1","286"
"src\presentation\pages\Dashboard\components\DashboardKPICards.tsx","DashboardKPICards.tsx","1","81"
"src\presentation\pages\Dashboard\components\DashboardKPIPreferencesDialog.tsx","DashboardKPIPreferencesDialog.tsx","1","147"
"src\presentation\components\ui\toggle.tsx","toggle.tsx","1","45"
"src\presentation\components\navigation\NavigationBar.tsx","NavigationBar.tsx","1","413"
"src\presentation\components\navigation\Breadcrumbs.tsx","Breadcrumbs.tsx","1","269"
"src\domain\utils\tenderPerformance.ts","tenderPerformance.ts","1","54"
"src\application\services\projectCostTracker.ts","projectCostTracker.ts","1","306"
"src\shared\config\kpiRegistry.ts","kpiRegistry.ts","1","159"
"src\shared\config\keyboard-shortcuts.ts","keyboard-shortcuts.ts","1","435"
"src\application\services\riskAssessmentService.ts","riskAssessmentService.ts","1","312"
"src\application\services\reportExportService.ts","reportExportService.ts","1","9"
"src\shared\config\onboarding-tours.ts","onboarding-tours.ts","1","234"
"src\api\integrations\crmConnector.ts","crmConnector.ts","1","476"
"src\shared\utils\formatters\numberHelpers.ts","numberHelpers.ts","1","288"
"src\api\integrations\hrConnector.ts","hrConnector.ts","1","451"
"src\presentation\components\tasks\TaskDetails.tsx","TaskDetails.tsx","1","516"
"src\shared\hooks\usePricingCalculations.ts","usePricingCalculations.ts","1","229"
"src\application\stores\tender\tenderFiltersStore.ts","tenderFiltersStore.ts","1","172"
"src\application\stores\tender\tenderDataStore.ts","tenderDataStore.ts","1","343"
"src\application\stores\tender\tenderSelectionStore.ts","tenderSelectionStore.ts","1","162"
"src\application\stores\projectDetailsStore.ts","projectDetailsStore.ts","1","330"
"src\application\stores\tender\tenderSortStore.ts","tenderSortStore.ts","1","143"
"src\application\services\workflowAutomationService.ts","workflowAutomationService.ts","1","31"
"src\repository\task.repository.ts","task.repository.ts","1","237"
"src\application\services\riskManagementService.ts","riskManagementService.ts","1","9"
"src\application\services\schedulingService.ts","schedulingService.ts","1","9"
"src\application\services\tenderSubmissionService.ts","tenderSubmissionService.ts","1","185"
"src\application\services\templateService.ts","templateService.ts","1","316"
"src\application\services\projectBudget\resourceCalculator.ts","resourceCalculator.ts","1","50"
"src\application\services\projectBudget\dataLoader.ts","dataLoader.ts","1","69"
"src\utils\dataMigration.ts","dataMigration.ts","1","746"
"src\api\auth\rateLimiter.ts","rateLimiter.ts","1","310"
"src\application\services\projectCost\projectCostTenderSync.ts","projectCostTenderSync.ts","1","400"
"src\application\services\projectBudget\budgetSummaryCalculator.ts","budgetSummaryCalculator.ts","1","35"
"src\application\services\projectAutoCreation\fileManager.ts","fileManager.ts","1","46"
"src\application\services\projectAutoCreation\boqSynchronizer.ts","boqSynchronizer.ts","1","316"
"src\utils\securityUpdates.ts","securityUpdates.ts","1","454"
"src\utils\defaultPercentagesPropagation.ts","defaultPercentagesPropagation.ts","1","50"
"src\application\services\projectAutoCreation\taskGenerator.ts","taskGenerator.ts","1","47"
"src\shared\utils\tender\tenderInsightCalculator.ts","tenderInsightCalculator.ts","1","182"
"src\application\services\exchangeRates.ts","exchangeRates.ts","1","103"
"src\shared\utils\tender\tenderEventHandlers.ts","tenderEventHandlers.ts","1","134"
"src\api\integrations\accountingConnector.ts","accountingConnector.ts","1","453"
"src\shared\utils\security\securityUpdates.ts","securityUpdates.ts","1","482"
"src\shared\utils\tender\tenderQuickActions.ts","tenderQuickActions.ts","1","35"
"src\application\services\centralDataService.ts","centralDataService.ts","1","324"
